Rooms,Bathroom,Car,Landsize,Lattitude,Longtitude
3,1.0,2.0,375.0,-37.75339,144.97687
3,1.0,5.0,743.0,-37.938340000000004,145.15965
3,1.0,1.0,530.0,-37.70598,145.07713
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,4.0,685.0,-37.78481,144.8623
4,3.0,4.0,1080.0,-37.797109999999996,145.09814
3,1.0,2.0,732.0,-37.92109,145.10515
3,2.0,1.0,677.0,-37.7301,144.86685
5,2.0,2.0,593.598993361392,-37.77089,145.18256
5,2.0,2.0,674.0,-37.8064,145.0608
2,1.0,1.0,593.598993361392,-37.7968,144.9473
3,1.0,8.0,727.0,-37.7825,145.0072
4,3.0,2.0,780.0,-37.94205,145.00683
4,2.0,2.0,590.0,-37.7151,144.9194
3,1.0,1.0,591.0,-37.7135,145.0783
4,1.0,1.0,687.0,-37.71881,144.96527
4,2.0,2.0,593.598993361392,-37.892920000000004,145.15165
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,574.0,-37.735440000000004,145.0921
1,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,2.0,619.0,-37.74521,144.76863
4,2.0,2.0,593.598993361392,-37.9128,145.02573999999998
3,2.0,2.0,860.0,-37.80622,145.3494
4,3.0,3.0,593.598993361392,-37.871109999999994,144.97657
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,3.0,771.0,-37.9375,145.0474
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,2.0,529.0,-37.8612,144.8247
3,1.0,1.0,697.0,-37.765,144.8255
3,2.0,1.0,210.0,-37.9075,145.061
