Rooms,Bathroom,Car,Landsize,Lattitude,Longtitude
4,2.0,2.0,684.0,-37.8485,145.0169
3,2.0,0.0,760.0,-37.86835,145.2264
4,3.0,2.0,819.0,-37.86529,145.13761
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,1.0,533.0,-37.7955,144.8784
3,1.0,1.0,546.0,-37.67411,144.94677
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,2.0,589.0,-37.7195,144.9982
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
2,1.0,3.0,469.0,-37.8184,144.872
2,1.0,1.0,272.0,-37.80335,145.2514
4,2.0,2.0,593.598993361392,-37.6692,144.8958
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,202.0,-37.846470000000004,145.15971000000002
3,1.0,1.0,552.0,-37.87401,144.69803000000002
4,1.0,3.0,593.598993361392,-37.77625,144.98623
3,1.0,1.0,593.598993361392,-37.90209,144.63651000000002
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,3.0,2.0,593.598993361392,-37.908590000000004,145.08168
5,3.0,2.0,900.0,-37.83,145.0847
4,2.0,2.0,525.0,-37.8939,145.0029
3,2.0,2.0,469.0,-37.72438,144.7655
5,2.0,2.0,593.598993361392,-37.71875,144.90726
3,2.0,2.0,650.0,-37.8986,145.0359
4,3.0,2.0,309.0,-37.76021,144.98781
3,2.0,1.0,233.0,-37.8479,144.9892
4,2.0,2.0,746.0,-37.79183,145.2464
4,2.0,3.0,571.0,-37.58767,144.70038
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,696.0,-37.791470000000004,145.05334
4,3.0,2.0,610.0,-37.83702,145.15345
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,841.0,-37.76917,145.29265
2,1.0,1.0,593.598993361392,-37.824490000000004,145.05222
3,3.0,1.0,291.0,-37.7271,144.9261
1,1.0,1.0,1079.0,-37.8499,144.9942
3,2.0,1.0,337.0,-37.92187,145.07291999999998
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,2.0,688.0,-37.9212,145.013
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,2.0,593.598993361392,-37.86773,145.04483000000002
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,381.0,-37.953720000000004,145.00608
3,2.0,2.0,593.598993361392,-37.6913,145.1166
3,1.0,1.0,829.0,-37.6768,144.8726
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.7066,144.99658
4,2.0,2.0,812.0,-37.848890000000004,145.09852
3,2.0,2.0,593.598993361392,-37.92718,145.17401999999998
4,2.0,2.0,593.598993361392,-37.73596,144.97179
5,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,2.0,244.0,-37.583040000000004,144.73887
3,2.0,2.0,593.598993361392,-38.11245,145.32485
3,2.0,2.0,593.598993361392,-37.74495,144.7694
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
4,2.0,2.0,734.0,-37.7604,144.891
5,5.0,2.0,1076.0,-37.73896,144.92131
3,2.0,2.0,593.598993361392,-37.9027,145.03196
3,2.0,2.0,211.0,-37.749,144.9583
3,2.0,4.0,587.0,-37.9217,145.0315
2,1.0,2.0,298.0,-37.8862,144.9974
3,1.0,1.0,642.0,-38.16762,145.13545
3,2.0,2.0,289.0,-37.70798,145.02101000000002
4,2.0,1.0,1088.0,-37.7956,145.0962
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,1.0,593.598993361392,-37.696999999999996,145.1008
2,1.0,1.0,593.598993361392,-37.788909999999994,144.93948
4,3.0,3.0,353.0,-37.81712,145.07459
4,3.0,3.0,631.0,-37.6246,145.01686
3,2.0,2.0,286.0,-37.6821,145.0793
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,3.0,464.0,-37.7184,144.9488
