Every,1
day,2
should,6
be,11
a,24
half,1
.,81
Took,1
the,51
afternoon,2
off,2
to,45
hit,1
dentist,1
",",84
and,25
while,1
I,62
was,8
out,10
managed,1
get,10
my,26
oil,1
changed,2
too,4
Remember,1
that,34
business,1
with,7
car,1
dealership,1
this,12
winter,1
?,6
Well,2
consider,1
epilogue,1
The,7
friendly,1
fellas,1
at,10
Valvoline,1
Instant,1
Oil,1
Change,1
on,10
Snelling,1
were,2
nice,3
enough,1
notice,2
dipstick,2
broken,1
metal,1
piece,1
far,1
down,2
in,15
its,1
little,4
tube,1
pull,1
Looks,1
like,2
'm,21
going,9
need,3
magnet,1
Damn,1
you,7
Kline,1
Nissan,1
daaaaaaammmnnn,1
yooouuuu,1
...,11
Today,1
let,1
boss,1
know,3
've,5
submitted,2
Corps,2
application,6
news,2
has,6
been,5
greeted,1
by,8
everyone,1
company,4
level,1
of,30
enthusiasm,1
really,3
floors,1
me,11
back,4
deck,2
finally,1
cleared,1
construction,1
working,3
place,1
This,1
for,15
anyone,4
who,3
's,14
interested,1
consists,1
mainly,1
one,2
guy,1
spends,1
his,3
days,1
cursing,1
crew,1
Spanish-speaking,1
laborers,1
Construction,1
began,1
around,1
time,3
Nixon,1
getting,3
office,2
Consider,1
ball,1
rolling,1
health,1
review,1
made,1
myself,2
available,1
assignment,1
starting,2
March,1
2005,1
environment,1
again,2
Thursday,2
Cry,1
Oh,3
well,3
think,5
hitting,2
submit,1
button,2
tomorrow,1
might,1
actually,2
make,2
return,1
bearable,1
still,2
not,7
making,2
any,2
headway,1
family,2
In,2
fact,3
Mom,2
rallying,1
troops,1
(,7
aka,1
aunts,1
uncles,1
),7
against,1
Meanwhile,1
friends,1
have,5
supportive,1
idea,1
Thanks,1
all,8
It,3
frustrating,1
Here,1
want,2
into,2
world,1
pinch,1
adventure,1
maybe,2
help,2
some,2
people,3
process,1
earning,1
resentment,1
entire,2
freakin,1
',1
because,3
can,3
only,3
hope,2
over,1
cooler,1
heads,1
will,4
prevail,1
There,3
now,2
nationwide,1
girlfriend,1
hunt,1
yours,1
truly,1
hell,1
Mexico,1
ties,1
shit,1
could,2
go,4
international,2
obviously,1
cure,1
foolishness,1
is,12
laid,1
buy,1
something,4
Problem,1
solved,1
Life,3
so,1
sad,1
Had,1
spot,1
Sunday,3
night,5
insomnia,2
fueled,1
mostly,1
discussions,1
parents,2
yesterday,1
Thankfully,1
Jack,1
Daniels,1
helped,1
Whoever,1
charge,1
late,1
programming,1
shot,1
an,4
uncommon,1
phenomenon,1
TV,1
needs,1
there,6
their,3
hour,2
s,1
!,3
Jerks,1
Two,1
points,1
identify,1
bit,1
dialogue,1
favorite,1
bits,1
Hint,1
:,4
Director,1
Steven,1
Soderbergh,1
insists,1
it,5
meaningless,1
Back,1
About,2
Schmidt,3
moment,1
just,1
love,2
name,1
Does,1
else,1
feel,1
same,3
way,3
So,2
many,2
superfluous,1
letters,1
kooky,1
``,5
c,1
'',5
silent,1
d,1
Along,1
those,1
lines,1
took,1
Michael,1
Moore,1
memorize,1
spelling,1
Fahrenheit,1
Yes,1
adhering,1
own,1
rule,1
periods,1
do,3
n't,4
inside,1
quotation,1
marks,1
are,4
try,2
cook,1
lest,1
we,2
end,2
up,3
Axl,2
Bonfire,1
Grill,1
street,1
Let,1
see,4
corn,1
cob,1
fresh,1
from,2
grimy,1
stove-top,1
or,2
perhaps,1
walleye,1
salad,1
Decisions,1
decisions,1
Pretty,1
good,3
A,1
vexed,1
ending,1
lazy,1
interpret,1
ambiguity,1
Finished,1
most,1
today,1
essay,2
questions,2
All,1
remains,1
inform,1
references,1
reference,1
status,1
very,5
mean,1
letting,1
planning,1
leave,1
6,1
mos,1
year,1
sure,5
how,2
they,3
'll,2
react,1
but,6
concerned,2
either,1
Good,1
certainly,1
am,2
giving,1
them,1
least,3
six,1
months,4
At,1
point,1
thing,1
gives,1
pause,1
Sydney,2
she,3
home,1
few,5
years,3
whoever,1
gets,1
her,2
knows,1
what,4
're,2
cat,1
lot,1
ways,1
clean,1
mannered,1
sweet,1
as,2
tiny,1
meow,1
That,1
said,1
likes,1
scratch,1
stuff,2
probably,2
check,1
before,1
expose,1
furniture,1
dorm-rated,1
spent,2
last,1
paging,1
through,2
notes,1
about,3
say,2
longer,1
portions,1
being,1
asked,1
standard,1
job,2
interview,1
University,1
Basically,1
handle,1
diversity,1
why,1
work,3
here,5
As,1
short,1
answers,1
decided,1
whether,1
page,3
dedicated,1
previous,1
volunteer,1
experience,1
apart,1
pledge,1
doing,1
tutoring,1
Minnesota,1
Literacy,1
Council,1
completely,1
blank,1
history,1
says,1
10,1
Ten,1
ago,2
16,1
Best,1
Buy,1
hated,1
note,1
though,1
saw,1
old,1
manager,1
Audio,2
King,2
when,2
called,1
Then,2
Media,1
Play,1
then,1
Hollywood,1
Video,1
ca,1
believe,1
aid,1
organization,1
would,1
find,2
ability,1
upsell,1
Packard,1
Bells,1
section,1
Femalien,1
resides,1
remotely,1
interesting,1
How,1
remainder,1
Watched,1
Fog,1
War,1
amazing,1
Errol,1
Morris,1
doc,1
Robert,1
McNamara,1
went,1
sleep,1
had,1
strange,1
dreams,1
involving,1
Holly,1
Hunter,1
pretty,2
obvious,1
great,2
learner,1
lessons,1
writing,1
umpteeth,1
first,2
blog,2
entry,1
life,2
Someone,1
somewhere,1
close,2
open,1
domain,1
expecting,1
handsome,1
video,1
game,1
Cratchit,1
digging,1
sand,1
trap,1
blogging,1
track,1
Cue,1
blood,1
squib,1
explosions,1
movement,1
Carmina,1
Burana,1
But,1
wait,1
man,1
baby,1
Things,1
different,2
swear,1
right,3
away,1
eventually,1
feeling,2
more,3
than,3
anxious,1
past,2
web,1
developer,1
sort,1
burned,1
'd,1
closer,1
Great,1
Goal,2
shooting,1
exactly,1
never,1
current,1
course,1
Web,1
development,2
sometimes,1
impression,1
field,1
driven,1
perfectionism,1
genuine,1
no,1
secret,1
spoken,1
--,1
joining,1
Peace,1
sitting,1
coffee,1
table,1
pen,2
filled,1
blanks,2
big,1
demand,1
brainpower,1
muster,1
after,1
8-something,1
hours,1
mind-numbing,1
promise,1
power,1
16+,1
pages,1
form,1
mail,1
next,1
week,1
even,1
fans,1
Chicago,1
able,1
hear,1
mother,1
cries,1
hears,1
reason,1
existing,1
reset,1
Dramatic,1
Anyway,1
