Rooms,Bathroom,Car,Landsize,Lattitude,Longtitude
2,1.0,2.0,669.0,-37.91194,144.98936
2,1.0,1.0,593.598993361392,-37.8726,144.9779
5,2.0,1.7288453442535114,593.598993361392,-37.70225,145.12843999999998
4,2.0,2.0,612.0,-37.9076,145.02043
5,3.0,2.0,365.0,-37.778209999999994,145.1569
3,2.0,3.0,741.0,-37.887570000000004,145.0729
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,3.0,3.0,325.0,-37.80506,145.05223999999998
4,1.0,2.0,370.0,-37.7431,144.95600000000002
3,1.0,2.0,789.0,-37.97912,145.13492
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,1.0,369.0,-37.7389,144.9821
4,2.0,2.0,593.598993361392,-37.69918,144.74955
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
5,3.0,2.0,665.0,-37.92064,145.03146
2,1.0,2.0,443.0,-37.9077,145.0229
3,1.0,2.0,553.0,-37.8956,145.0928
4,2.0,2.0,662.0,-37.8588,145.0832
2,1.0,1.7288453442535114,593.598993361392,-37.73745,145.06482
3,1.0,0.0,728.0,-37.78682,145.15866
3,1.0,4.0,836.0,-37.85779,144.8167
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,3.0,593.598993361392,-37.864979999999996,144.77406000000002
4,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
2,1.0,2.0,568.0,-37.7682,144.9422
3,2.0,2.0,593.598993361392,-37.87925,145.11706
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.0,1.0,726.0,-37.86173,145.11074
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,2.0,2.0,782.0,-37.99007,145.03588
2,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
3,1.624798167549097,1.7288453442535114,593.598993361392,-37.810634295599094,145.00185113165475
5,4.0,2.0,588.0,-37.94117,145.23012
3,1.0,2.0,290.0,-37.60915,145.13453
3,2.0,2.0,555.0,-37.852920000000005,144.67049
3,2.0,2.0,697.0,-37.9092,145.0813
3,1.0,1.0,632.0,-37.9282,145.0367
3,1.0,2.0,521.0,-37.7097,144.9912
3,2.0,3.0,593.598993361392,-37.72996,144.91949
5,3.0,2.0,660.0,-37.8899,145.0911
3,2.0,2.0,593.598993361392,-37.885,145.1227
3,2.0,2.0,356.0,-37.7493,144.8901
