Every,1
day,3
should,7
be,16
a,50
half,1
.,152
Took,1
the,94
afternoon,5
off,5
to,85
hit,1
dentist,1
",",150
and,47
while,1
I,108
was,13
out,16
managed,1
get,14
my,49
oil,1
changed,2
too,6
Remember,2
that,57
business,2
with,19
car,2
dealership,1
this,20
winter,1
?,17
Well,2
consider,1
epilogue,1
The,8
friendly,1
fellas,1
at,15
Valvoline,1
Instant,1
Oil,1
Change,1
on,19
Snelling,1
were,7
nice,3
enough,2
notice,2
dipstick,2
broken,1
metal,1
piece,1
far,1
down,3
in,33
its,2
little,6
tube,1
pull,1
Looks,1
like,4
'm,25
going,10
need,3
magnet,1
Damn,1
you,24
Kline,1
Nissan,1
daaaaaaammmnnn,1
yooouuuu,1
...,20
Today,1
let,1
boss,1
know,5
've,15
submitted,3
Corps,5
application,9
news,2
has,9
been,10
greeted,1
by,9
everyone,3
company,4
level,1
of,52
enthusiasm,1
really,7
floors,1
me,16
back,6
deck,2
finally,1
cleared,1
construction,1
working,3
place,2
This,5
for,27
anyone,5
who,3
's,27
interested,1
consists,1
mainly,1
one,4
guy,1
spends,1
his,5
days,1
cursing,1
crew,1
Spanish-speaking,1
laborers,1
Construction,1
began,1
around,3
time,5
Nixon,1
getting,3
office,3
Consider,1
ball,1
rolling,1
health,1
review,1
made,1
myself,3
available,1
assignment,1
starting,2
March,1
2005,1
environment,1
again,2
Thursday,4
Cry,1
Oh,3
well,4
think,6
hitting,2
submit,1
button,2
tomorrow,1
might,1
actually,4
make,4
return,2
bearable,1
still,4
not,11
making,3
any,2
headway,1
family,2
In,3
fact,3
Mom,4
rallying,1
troops,1
(,9
aka,1
aunts,1
uncles,1
),9
against,2
Meanwhile,1
friends,1
have,12
supportive,1
idea,2
Thanks,1
all,13
It,4
frustrating,1
Here,2
want,4
into,3
world,2
pinch,1
adventure,1
maybe,3
help,2
some,7
people,5
process,2
earning,1
resentment,1
entire,2
freakin,1
',2
because,4
can,5
only,5
hope,2
over,4
cooler,1
heads,2
will,5
prevail,1
There,5
now,3
nationwide,1
girlfriend,1
hunt,1
yours,1
truly,1
hell,1
Mexico,2
ties,1
shit,1
could,3
go,5
international,3
obviously,1
cure,1
foolishness,1
is,20
laid,1
buy,1
something,5
Problem,1
solved,1
Life,3
so,5
sad,1
Had,1
spot,1
Sunday,5
night,6
insomnia,2
fueled,1
mostly,1
discussions,1
parents,6
yesterday,2
Thankfully,1
Jack,1
Daniels,1
helped,2
Whoever,1
charge,1
late,2
programming,1
shot,1
an,6
uncommon,1
phenomenon,1
TV,1
needs,1
there,7
their,6
hour,2
s,1
!,12
Jerks,1
Two,1
points,1
identify,1
bit,2
dialogue,1
favorite,1
bits,1
Hint,1
:,13
Director,1
Steven,1
Soderbergh,1
insists,1
it,15
meaningless,1
Back,2
About,2
Schmidt,3
moment,1
just,6
love,2
name,1
Does,1
else,2
feel,1
same,3
way,6
So,3
many,5
superfluous,1
letters,1
kooky,1
``,19
c,1
'',19
silent,1
d,1
Along,1
those,5
lines,1
took,1
Michael,1
Moore,3
memorize,1
spelling,1
Fahrenheit,2
Yes,1
adhering,1
own,2
rule,1
periods,1
do,7
n't,20
inside,1
quotation,1
marks,1
are,8
try,2
cook,1
lest,1
we,2
end,2
up,10
Axl,2
Bonfire,1
Grill,1
street,1
Let,1
see,5
corn,1
cob,1
fresh,1
from,4
grimy,1
stove-top,1
or,6
perhaps,1
walleye,1
salad,1
Decisions,1
decisions,2
Pretty,1
good,5
A,2
vexed,1
ending,1
lazy,1
interpret,1
ambiguity,1
Finished,1
most,3
today,5
essay,4
questions,3
All,1
remains,1
inform,1
references,1
reference,2
status,1
very,6
mean,1
letting,1
planning,1
leave,1
6,1
mos,1
year,3
sure,5
how,3
they,9
'll,4
react,1
but,15
concerned,2
either,2
Good,1
certainly,1
am,2
giving,1
them,4
least,3
six,1
months,4
At,1
point,1
thing,2
gives,1
pause,1
Sydney,2
she,4
home,1
few,8
years,8
whoever,1
gets,1
her,2
knows,1
what,5
're,2
cat,1
lot,1
ways,1
clean,1
mannered,1
sweet,1
as,6
tiny,1
meow,1
That,2
said,3
likes,1
scratch,1
stuff,2
probably,4
check,1
before,2
expose,1
furniture,1
dorm-rated,1
spent,2
last,4
paging,1
through,3
notes,1
about,11
say,3
longer,1
portions,1
being,2
asked,1
standard,1
job,3
interview,2
University,1
Basically,1
handle,1
diversity,1
why,1
work,4
here,5
As,2
short,1
answers,2
decided,2
whether,1
page,3
dedicated,1
previous,1
volunteer,1
experience,2
apart,1
pledge,1
doing,2
tutoring,1
Minnesota,1
Literacy,1
Council,1
completely,3
blank,1
history,1
says,2
10,1
Ten,1
ago,4
16,1
Best,1
Buy,1
hated,1
note,1
though,1
saw,1
